ops/critical_due,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,ops/episodes,ops/critical_done_on_time,events/add_jobs,act/job_share,time/fps,act/idle_share,act/conflicts_repaired,ops/jobs_completed,events/skipped,ops/brownout_steps,ops/jobs_due_missed,ops/below_reserve_steps,act/calibrate_share,time/iterations,act/downlink_slots_used,time/total_timesteps,ops/critical_on_time_share,act/executor_switches,ops/revenue_usd,ops/work_lost_steps,events/outage,ops/completed_share,events/close_downlink,ops/blocked_commands,ops/min_soc_pct,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates
6.0,2,48.0,-39.4287125,8,0.375,0.0,0.011555989583333334,153,0.50634765625,1.125,4.375,6.5,0.0,13.625,0.0,0.4820963541666667,1,0.75,384,0.0625,0.625,52.12875,3.0,1.25,0.24305555555555552,1.75,0.0,34.60622825,,,,,,,,,,
6.0,18,48.0,-41.31516875,16,0.125,0.0,0.011393229166666668,40,0.5052083333333334,1.375,4.25,5.625,0.0,13.75,0.0,0.4833984375,2,0.5,768,0.020833333333333332,0.625,51.7125,3.0,1.625,0.2361111111111111,1.0,0.0,37.164707750000005,0.2,-11.023311138153076,-0.007954716682434082,323.4204813639323,0.0003,-0.005084250820800662,153.95814514160156,0.007815647,0.08658854166666667,4
6.0,34,48.0,-38.06777916666667,24,0.375,0.0,0.013346354166666668,33,0.5021158854166667,2.125,5.625,5.25,0.0,12.375,0.0,0.4845377604166667,3,0.375,1152,0.0625,1.0,68.95,2.625,2.0,0.3125,1.25,0.0,36.570774875,0.2,-11.044138669967651,0.009884476661682129,314.5069173177083,0.0003,-0.000983319788550337,135.03359985351562,0.0071328604,0.030598958333333332,8
6.0,51,48.0,-35.00958125,32,0.375,0.0,0.016438802083333332,30,0.5100911458333334,3.0,6.5,6.5,0.0,11.5,0.0,0.47347005208333337,4,0.75,1536,0.0625,1.25,83.37625,3.5,2.375,0.36111111111111105,1.5,0.0,37.301769125,0.2,-11.144424756368002,0.024838626384735107,241.42182795206705,0.0003,-0.003995289870848258,119.09959411621094,0.019586397,0.10546875,12
6.0,66,48.0,-33.2815425,40,0.25,0.0,0.018229166666666664,28,0.52197265625,2.875,6.625,5.125,0.0,11.375,0.0,0.4597981770833333,5,1.125,1920,0.041666666666666664,0.625,81.18625,4.875,2.375,0.3680555555555556,1.75,0.0,34.880350875,0.2,-11.070611238479614,0.0575639009475708,215.10798136393228,0.0003,-0.0019806509371846914,103.5318832397461,0.007881914,0.06901041666666667,16
6.0,82,48.0,-31.40772708333333,48,0.375,0.0,0.016276041666666668,27,0.4991861979166667,2.5,7.125,4.875,0.0,10.875,0.0,0.48453776041666663,6,0.875,2304,0.0625,0.875,88.00999999999999,2.875,1.625,0.3958333333333333,2.375,0.0,38.398260375,0.2,-11.107088009516398,0.15494120121002197,192.26657104492188,0.0003,0.001936771363640825,83.49411010742188,0.006915648,0.02734375,20
6.0,96,48.0,-30.004703571428575,56,0.25,0.0,0.019694010416666664,27,0.4881184895833333,4.25,7.375,5.125,0.0,10.625,0.0,0.4921875,7,0.875,2688,0.041666666666666664,1.25,95.71875,4.625,2.875,0.4097222222222222,1.375,0.0,36.38802625,0.2,-11.099768082300821,0.4033825397491455,106.9636796315511,0.0003,-0.004296448780223727,36.15684509277344,0.010459751,0.08463541666666667,24
6.0,112,48.0,-28.775417187500004,64,0.5,0.0,0.01953125,27,0.5074869791666666,4.25,7.125,4.75,0.0,10.875,0.0,0.47298177083333337,8,1.125,3072,0.08333333333333333,0.75,86.70875,5.375,1.75,0.3958333333333333,1.125,0.0,36.342339249999995,0.2,-11.015637795130411,0.7739012241363525,53.41040643056234,0.0003,0.008964855767165622,29.161155700683594,0.0152464,0.14192708333333334,28
6.0,129,48.0,-26.78834722222222,72,0.625,0.0,0.0205078125,26,0.54736328125,5.375,8.375,5.375,0.0,9.625,0.0,0.43212890625,9,1.75,3456,0.10416666666666666,1.5,107.07124999999999,4.0,2.875,0.4652777777777778,2.0,0.0,35.245847999999995,0.2,-11.169372797012329,0.8244653940200806,52.18360678354899,0.0003,0.0071777430130168796,15.411186218261719,0.09197989,0.2610677083333333,32
6.0,145,48.0,-25.2516575,80,0.625,0.0,0.021809895833333332,26,0.5763346354166667,5.25,8.25,6.125,0.0,9.75,0.0,0.40185546875,10,2.0,3840,0.10416666666666666,1.25,112.85499999999999,4.625,2.875,0.4583333333333333,1.25,0.0,35.063099375,0.2,-10.994921684265137,0.7092564105987549,65.80643781026204,0.0003,0.00041993940249085426,25.537538528442383,0.011626459,0.11588541666666667,36
6.0,161,48.0,-23.56283409090909,88,0.5,0.0,0.023111979166666668,26,0.5426432291666666,7.25,9.25,7.125,0.0,8.75,0.0,0.43424479166666663,11,1.375,4224,0.08333333333333333,2.0,126.29,4.0,2.125,0.5138888888888888,1.375,0.0,36.06821675,0.2,-10.922805229822794,0.7198486924171448,59.211514472961426,0.0003,0.024278512534995873,24.8806095123291,0.057302352,0.21419270833333334,40
6.0,177,48.0,-22.458259375,96,0.375,0.0,0.02392578125,25,0.5768229166666666,8.0,8.875,7.375,0.0,9.125,0.0,0.39925130208333337,12,1.625,4608,0.0625,1.875,127.95625,4.5,2.25,0.4930555555555556,1.5,0.0,35.01741212500001,0.2,-10.920946677525839,0.7240883111953735,49.778767903645836,0.0003,0.029524195240810513,25.58814239501953,0.07319561,0.3346354166666667,44
6.0,194,48.0,-21.298018000000003,104,0.625,0.0,0.021809895833333332,25,0.5221354166666667,5.875,8.5,6.25,0.0,9.5,0.0,0.4560546875,13,1.75,4992,0.10416666666666666,0.75,107.85249999999999,4.875,3.375,0.4722222222222222,0.875,0.0,37.667266125,0.2,-10.52431321144104,0.8297143578529358,33.62524859110514,0.0003,0.008406045691420635,11.931314468383789,0.09782383,0.201171875,48
6.0,210,48.0,-17.685898,112,0.625,0.0,0.024251302083333336,25,0.5130208333333334,8.875,9.375,5.25,0.0,8.625,0.0,0.46272786458333337,14,1.5,5376,0.10416666666666666,1.625,131.81125,4.375,2.0,0.5208333333333333,1.25,0.0,35.4742835,0.2,-10.65724515914917,0.8601545095443726,24.979332208633423,0.0003,0.005035849094080429,8.765778541564941,0.11448374,0.3841145833333333,52
