act/conflicts_repaired,ops/blocked_commands,ops/brownout_steps,time/iterations,ops/min_soc_pct,act/idle_share,events/add_jobs,ops/below_reserve_steps,ops/work_lost_steps,ops/revenue_usd,events/outage,events/skipped,time/fps,ops/critical_done_on_time,ops/completed_share,ops/episodes,act/calibrate_share,ops/critical_on_time_share,act/executor_switches,rollout/ep_rew_mean,rollout/ep_len_mean,ops/jobs_completed,events/close_downlink,act/job_share,time/time_elapsed,time/total_timesteps,act/downlink_slots_used,ops/jobs_due_missed,ops/critical_due,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/loss,train/approx_kl,train/value_loss
0.375,0.0,0.0,1,35.7027195,0.6316731770833334,0.0,0.0,2.875,40.67125,1.25,6.5,153,0.375,0.19444444444444442,8,0.35856119791666663,0.0625,0.375,-2.561675,48.0,3.5,1.75,0.009765625,2,384,0.75,14.5,6.0,,,,,,,,,,
2.375,0.0,0.0,2,36.250965125,0.5992838541666667,0.0,0.0,3.0,73.79249999999999,1.625,5.625,40,0.125,0.3194444444444445,16,0.3859049479166667,0.020833333333333332,0.875,-1.2899125,48.0,5.75,1.0,0.014811197916666668,18,768,0.625,12.25,6.0,0.3893229166666667,-0.05117940902709961,0.01371907745487988,0.0003,4,-10.652142683664957,0.2,0.34341782331466675,0.07115025,1.2790553073088329
3.125,0.0,0.0,3,38.489634499999994,0.5929361979166667,0.0,0.0,3.375,78.01124999999999,2.0,5.25,33,0.25,0.3472222222222222,24,0.39143880208333337,0.041666666666666664,1.25,-0.7566166666666666,48.0,6.25,1.25,0.015624999999999998,34,1152,0.25,11.75,6.0,0.171875,0.17366242408752441,-0.012754324513177076,0.0003,8,-10.814389944076538,0.2,0.27915820479393005,0.015844796,0.8561795850594839
2.625,0.0,0.0,4,38.398260375,0.60693359375,0.0,0.0,3.5,80.46,2.375,6.5,30,0.375,0.3472222222222222,32,0.37711588541666663,0.0625,1.0,-0.4407375,48.0,6.25,1.5,0.015950520833333332,51,1536,0.75,11.75,6.0,0.169921875,0.2564423680305481,-0.006194907706230879,0.0003,12,-10.973719040552774,0.2,0.33105623722076416,0.0144571215,0.7630420923233032
2.625,0.0,0.0,5,35.428596625,0.6435546875,0.0,0.0,4.5,84.93625,2.375,5.125,28,0.25,0.375,40,0.33821614583333337,0.041666666666666664,0.625,-0.141245,48.0,6.75,1.75,0.018229166666666664,66,1920,1.0,11.25,6.0,0.21419270833333334,0.2944127321243286,-0.005564369494095445,0.0003,16,-10.699917713801065,0.2,0.3809884786605835,0.013863069,0.9161726633707682
2.625,0.0,0.0,6,40.636929875,0.6214192708333334,0.0,0.0,3.625,79.88624999999999,1.625,4.875,27,0.375,0.35416666666666663,48,0.3626302083333333,0.0625,0.75,-0.03687500000000001,48.0,6.375,2.375,0.015950520833333336,82,2304,0.875,11.625,6.0,0.3033854166666667,0.429024338722229,-0.002917160823320349,0.0003,20,-10.709331750869751,0.2,0.10704664140939713,0.058872182,0.673176072537899
4.375,0.0,0.0,7,38.07845025,0.6271158854166667,0.0,0.0,3.625,98.37375,2.875,5.125,27,0.125,0.4166666666666667,56,0.35400390625,0.020833333333333332,1.0,0.24256785714285714,48.0,7.5,1.375,0.018880208333333336,96,2688,0.625,10.5,6.0,0.21744791666666666,0.5989316701889038,-0.012031212371463576,0.0003,24,-10.811229387919107,0.2,0.08322535455226898,0.022144025,0.41081220159928006
3.25,0.0,0.0,8,35.474283875,0.6267903645833333,0.0,0.0,4.375,96.86375,1.75,4.75,27,0.375,0.4305555555555555,64,0.353515625,0.0625,1.0,0.45254374999999997,48.0,7.75,1.125,0.019694010416666668,113,3072,0.875,10.25,6.0,0.15494791666666666,0.6690022349357605,-0.009538817995538315,0.0003,28,-10.490840196609497,0.2,0.03676819056272507,0.018136166,0.4096856564283371
3.75,0.0,0.0,9,36.296652125,0.6638997395833333,0.0,0.0,3.625,95.50874999999999,2.875,5.375,26,0.25,0.41666666666666663,72,0.31754557291666663,0.041666666666666664,1.375,0.5901583333333333,48.0,7.5,2.0,0.0185546875,128,3456,1.25,10.5,6.0,0.19205729166666666,0.7681511640548706,-0.009986526682041585,0.0003,32,-10.621004422505697,0.2,-0.01371767371892929,0.021292312,0.288238017509381
5.375,0.0,0.0,10,37.621578875,0.6658528645833334,0.0,0.0,4.75,106.3975,2.875,6.125,26,0.625,0.4375,80,0.31315104166666663,0.10416666666666666,1.375,0.7937075,48.0,7.875,1.25,0.02099609375,144,3840,2.0,10.125,6.0,0.109375,0.7427941560745239,-0.013045700189347068,0.0003,36,-10.120481967926025,0.2,0.013364709913730621,0.019312121,0.3545067012310028
