----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.101    |
|    conflicts_repaired     | 456      |
|    downlink_slots_used    | 96.8     |
|    executor_switches      | 244      |
|    idle_share             | 0.776    |
|    job_share              | 0.123    |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 10.2     |
|    outage                 | 12.2     |
|    skipped                | 32.8     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.717    |
|    critical_done_on_time  | 183      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.547    |
|    episodes               | 4        |
|    jobs_completed         | 866      |
|    jobs_due_missed        | 342      |
|    min_soc_pct            | 46.7     |
|    revenue_usd            | 2.16e+04 |
|    work_lost_steps        | 115      |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 2.5e+03  |
| time/                     |          |
|    fps                    | 53       |
|    iterations             | 1        |
|    time_elapsed           | 21       |
|    total_timesteps        | 1152     |
----------------------------------------
-----------------------------------------
| act/                      |           |
|    calibrate_share        | 0.154     |
|    conflicts_repaired     | 556       |
|    downlink_slots_used    | 116       |
|    executor_switches      | 275       |
|    idle_share             | 0.719     |
|    job_share              | 0.126     |
| events/                   |           |
|    add_jobs               | 0         |
|    close_downlink         | 9.75      |
|    outage                 | 17        |
|    skipped                | 37.5      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.746     |
|    critical_done_on_time  | 197       |
|    critical_due           | 334       |
|    critical_on_time_share | 0.59      |
|    episodes               | 8         |
|    jobs_completed         | 902       |
|    jobs_due_missed        | 306       |
|    min_soc_pct            | 45.9      |
|    revenue_usd            | 2.24e+04  |
|    work_lost_steps        | 91.2      |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 2.66e+03  |
| time/                     |           |
|    fps                    | 15        |
|    iterations             | 2         |
|    time_elapsed           | 149       |
|    total_timesteps        | 2304      |
| train/                    |           |
|    approx_kl              | 0.4357743 |
|    clip_fraction          | 0.762     |
|    clip_range             | 0.2       |
|    entropy_loss           | -31.3     |
|    explained_variance     | 0.000278  |
|    learning_rate          | 0.0003    |
|    loss                   | 2.16e+03  |
|    n_updates              | 4         |
|    policy_gradient_loss   | 0.131     |
|    value_loss             | 1.64e+04  |
-----------------------------------------
-----------------------------------------
| act/                      |           |
|    calibrate_share        | 0.8       |
|    conflicts_repaired     | 515       |
|    downlink_slots_used    | 100       |
|    executor_switches      | 242       |
|    idle_share             | 0.075     |
|    job_share              | 0.125     |
| events/                   |           |
|    add_jobs               | 0         |
|    close_downlink         | 8.75      |
|    outage                 | 16        |
|    skipped                | 36.2      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.728     |
|    critical_done_on_time  | 186       |
|    critical_due           | 334       |
|    critical_on_time_share | 0.558     |
|    episodes               | 12        |
|    jobs_completed         | 880       |
|    jobs_due_missed        | 328       |
|    min_soc_pct            | 40        |
|    revenue_usd            | 2.19e+04  |
|    work_lost_steps        | 106       |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 2.64e+03  |
| time/                     |           |
|    fps                    | 12        |
|    iterations             | 3         |
|    time_elapsed           | 278       |
|    total_timesteps        | 3456      |
| train/                    |           |
|    approx_kl              | 15.441532 |
|    clip_fraction          | 0.913     |
|    clip_range             | 0.2       |
|    entropy_loss           | -36.9     |
|    explained_variance     | 0.0155    |
|    learning_rate          | 0.0003    |
|    loss                   | 1.16e+03  |
|    n_updates              | 8         |
|    policy_gradient_loss   | 0.248     |
|    value_loss             | 8.75e+03  |
-----------------------------------------
----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.984    |
|    conflicts_repaired     | 0.5      |
|    downlink_slots_used    | 1.25     |
|    executor_switches      | 0.25     |
|    idle_share             | 0.00957  |
|    job_share              | 0.00691  |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 9        |
|    outage                 | 13.2     |
|    skipped                | 35.5     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.0257   |
|    critical_done_on_time  | 6        |
|    critical_due           | 334      |
|    critical_on_time_share | 0.018    |
|    episodes               | 16       |
|    jobs_completed         | 31       |
|    jobs_due_missed        | 1.18e+03 |
|    min_soc_pct            | 39.8     |
|    revenue_usd            | 433      |
|    work_lost_steps        | 62.2     |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 1.12e+03 |
| time/                     |          |
|    fps                    | 11       |
|    iterations             | 4        |
|    time_elapsed           | 407      |
|    total_timesteps        | 4608     |
| train/                    |          |
|    approx_kl              | 40.26013 |
|    clip_fraction          | 0.967    |
|    clip_range             | 0.2      |
|    entropy_loss           | -3.19    |
|    explained_variance     | 0.058    |
|    learning_rate          | 0.0003   |
|    loss                   | 2.07e+03 |
|    n_updates              | 12       |
|    policy_gradient_loss   | 0.243    |
|    value_loss             | 9.21e+03 |
----------------------------------------
----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.625    |
|    conflicts_repaired     | 992      |
|    downlink_slots_used    | 168      |
|    executor_switches      | 284      |
|    idle_share             | 0.241    |
|    job_share              | 0.134    |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 10       |
|    outage                 | 16.5     |
|    skipped                | 34.2     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.814    |
|    critical_done_on_time  | 224      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.671    |
|    episodes               | 20       |
|    jobs_completed         | 983      |
|    jobs_due_missed        | 225      |
|    min_soc_pct            | 39.9     |
|    revenue_usd            | 2.45e+04 |
|    work_lost_steps        | 52.5     |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 1.61e+03 |
| time/                     |          |
|    fps                    | 10       |
|    iterations             | 5        |
|    time_elapsed           | 529      |
|    total_timesteps        | 5760     |
| train/                    |          |
|    approx_kl              | 64.59419 |
|    clip_fraction          | 0.85     |
|    clip_range             | 0.2      |
|    entropy_loss           | -31.8    |
|    explained_variance     | 0.365    |
|    learning_rate          | 0.0003   |
|    loss                   | 896      |
|    n_updates              | 16       |
|    policy_gradient_loss   | 0.235    |
|    value_loss             | 1.94e+04 |
----------------------------------------
----------------------------------------
| act/                      |          |
|    calibrate_share        | 0.0798   |
|    conflicts_repaired     | 843      |
|    downlink_slots_used    | 154      |
|    executor_switches      | 291      |
|    idle_share             | 0.788    |
|    job_share              | 0.132    |
| events/                   |          |
|    add_jobs               | 0        |
|    close_downlink         | 8.25     |
|    outage                 | 13.8     |
|    skipped                | 34.5     |
| ops/                      |          |
|    below_reserve_steps    | 0        |
|    blocked_commands       | 0        |
|    brownout_steps         | 0        |
|    completed_share        | 0.799    |
|    critical_done_on_time  | 218      |
|    critical_due           | 334      |
|    critical_on_time_share | 0.653    |
|    episodes               | 24       |
|    jobs_completed         | 965      |
|    jobs_due_missed        | 243      |
|    min_soc_pct            | 45       |
|    revenue_usd            | 2.4e+04  |
|    work_lost_steps        | 56.2     |
| rollout/                  |          |
|    ep_len_mean            | 288      |
|    ep_rew_mean            | 1.91e+03 |
| time/                     |          |
|    fps                    | 10       |
|    iterations             | 6        |
|    time_elapsed           | 657      |
|    total_timesteps        | 6912     |
| train/                    |          |
|    approx_kl              | 7.246717 |
|    clip_fraction          | 0.836    |
|    clip_range             | 0.2      |
|    entropy_loss           | -31.6    |
|    explained_variance     | 0.513    |
|    learning_rate          | 0.0003   |
|    loss                   | 627      |
|    n_updates              | 20       |
|    policy_gradient_loss   | 0.301    |
|    value_loss             | 1.09e+04 |
----------------------------------------
-----------------------------------------
| act/                      |           |
|    calibrate_share        | 0.0131    |
|    conflicts_repaired     | 250       |
|    downlink_slots_used    | 58.5      |
|    executor_switches      | 73        |
|    idle_share             | 0.919     |
|    job_share              | 0.0675    |
| events/                   |           |
|    add_jobs               | 0         |
|    close_downlink         | 7.75      |
|    outage                 | 12.8      |
|    skipped                | 38.5      |
| ops/                      |           |
|    below_reserve_steps    | 0         |
|    blocked_commands       | 0         |
|    brownout_steps         | 0         |
|    completed_share        | 0.382     |
|    critical_done_on_time  | 95.5      |
|    critical_due           | 334       |
|    critical_on_time_share | 0.286     |
|    episodes               | 28        |
|    jobs_completed         | 461       |
|    jobs_due_missed        | 747       |
|    min_soc_pct            | 48.3      |
|    revenue_usd            | 1.11e+04  |
|    work_lost_steps        | 125       |
| rollout/                  |           |
|    ep_len_mean            | 288       |
|    ep_rew_mean            | 1.58e+03  |
| time/                     |           |
|    fps                    | 10        |
|    iterations             | 7         |
|    time_elapsed           | 778       |
|    total_timesteps        | 8064      |
| train/                    |           |
|    approx_kl              | 15.148058 |
|    clip_fraction          | 0.957     |
|    clip_range             | 0.2       |
|    entropy_loss           | -10.5     |
|    explained_variance     | 0.774     |
|    learning_rate          | 0.0003    |
|    loss                   | 653       |
|    n_updates              | 24        |
|    policy_gradient_loss   | 0.462     |
|    value_loss             | 5.99e+03  |
-----------------------------------------
------------------------------------------
| act/                      |            |
|    calibrate_share        | 0.0141     |
|    conflicts_repaired     | 270        |
|    downlink_slots_used    | 62.8       |
|    executor_switches      | 89.2       |
|    idle_share             | 0.892      |
