ops/critical_done_on_time,ops/critical_due,ops/episodes,events/outage,time/time_elapsed,time/iterations,events/skipped,rollout/ep_rew_mean,ops/min_soc_pct,act/calibrate_share,ops/below_reserve_steps,time/fps,ops/completed_share,ops/revenue_usd,ops/work_lost_steps,time/total_timesteps,rollout/ep_len_mean,ops/critical_on_time_share,events/add_jobs,ops/jobs_due_missed,ops/jobs_completed,act/idle_share,ops/brownout_steps,act/executor_switches,act/conflicts_repaired,ops/blocked_commands,events/close_downlink,act/job_share,act/downlink_slots_used,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss
182.75,334.0,4,12.25,23,1,32.75,2500.520525,46.7450585,0.10087528935185186,0.0,48,0.7173013245033112,21645.802499999998,115.0,1152,288.0,0.5471556886227544,0.0,341.5,866.5,0.7757703993055556,0.0,244.5,456.5,0.0,10.25,0.12335431134259259,96.75,,,,,,,,,,
183.25,334.0,8,17.0,157,2,37.5,2471.2531625,45.933684,0.12064163773148148,0.0,14,0.7067466887417219,21049.83,123.75,2304,288.0,0.5486526946107785,0.0,354.25,853.75,0.7579210069444444,0.0,226.5,398.25,0.0,9.75,0.12143735532407408,99.25,0.083425574,0.0002777576446533203,0.0001,4,-31.01054202185737,9842.607421875,0.2,0.03538237020580305,0.5223524305555556,22453.762641059027
185.0,334.0,12,16.0,288,3,36.25,2462.035025,45.531491,0.13290292245370372,0.0,11,0.7028145695364238,20917.375,128.5,3456,288.0,0.5538922155688623,0.0,359.0,849.0,0.7459671585648148,0.0,225.0,397.75,0.0,8.75,0.12112991898148148,94.25,0.027275873,0.005533397197723389,0.0001,8,-33.86101192898221,7276.97314453125,0.2,0.025773583652658597,0.3070746527777778,19215.471082899305
183.5,334.0,16,13.25,418,4,35.5,2461.1598999999997,45.0928945,0.13963035300925924,0.0,11,0.7110927152317881,21304.7025,119.75,4608,288.0,0.5494011976047904,0.0,349.0,859.0,0.7381004050925927,0.0,251.0,411.5,0.0,9.0,0.12226924189814814,101.0,0.032445602,0.010779917240142822,0.0001,12,-34.9269830915663,3753.187744140625,0.2,0.02002648191733493,0.3530815972222222,14753.925564236111
201.25,334.0,20,16.5,550,5,34.25,2550.02142,45.794766,0.13709852430555555,0.0,10,0.7504139072847682,22356.75,90.5,5760,288.0,0.6025449101796407,0.0,301.5,906.5,0.7360568576388888,0.0,272.5,527.0,0.0,10.0,0.12684461805555555,121.75,0.030358298,0.016693532466888428,0.0001,16,-35.709314028422035,3276.66162109375,0.2,0.0238059401874327,0.361328125,11190.026706271701
244.0,334.0,24,13.75,589,6,34.5,2794.5313416666663,43.43730975,0.13389756944444442,0.0,11,0.8449917218543046,25160.595,45.0,6912,288.0,0.7305389221556886,0.0,187.25,1020.75,0.728660300925926,0.0,290.5,1153.5,0.0,8.25,0.13744212962962962,203.0,1.0714306,0.024604320526123047,0.0001,17,-33.81001009259905,10428.466796875,0.2,0.12918364442884922,0.7600446428571429,22968.542410714286
265.5,334.0,28,12.75,641,7,38.5,3044.965917857143,44.6178945,0.2048611111111111,0.0,12,0.8841059602649006,26012.3375,41.5,8064,288.0,0.7949101796407185,0.0,140.0,1068.0,0.6534469039351852,0.0,237.25,1713.25,0.0,7.75,0.14169198495370372,255.0,2.1915157,0.025126159191131592,0.0001,19,-30.75577449798584,16119.349609375,0.2,0.15261265526836118,0.7571614583333334,39655.876302083336
247.0,334.0,32,14.75,768,8,31.0,3174.7328937499997,44.906578749999994,0.08729383680555555,0.0,11,0.8493377483443709,25200.1725,45.0,9216,288.0,0.7395209580838323,0.0,182.0,1026.0,0.7747395833333333,0.0,289.75,1228.75,0.0,6.75,0.1379665798611111,207.5,0.2281425,0.02733933925628662,0.0001,23,-32.24771685070462,5778.4443359375,0.2,0.05767448921687901,0.5750868055555556,28762.070692274305
190.75,334.0,36,15.5,800,9,29.0,3115.096797222222,47.68807,0.028663917824074073,0.0,12,0.7235099337748344,21659.552499999998,98.25,10368,288.0,0.5711077844311377,0.0,334.0,874.0,0.8483796296296295,0.0,221.0,499.0,0.0,7.5,0.1229564525462963,112.75,1.4945076,0.034427523612976074,0.0001,24,-22.278393268585205,25212.693359375,0.2,0.14255215553566813,0.705078125,43947.888671875
86.25,334.0,40,15.75,838,10,38.5,2735.4335875,48.28742700000001,0.008807146990740741,0.0,13,0.35885761589403975,9825.22,217.75,11520,288.0,0.25823353293413176,0.0,774.5,433.5,0.9235387731481481,0.0,51.5,72.5,0.0,10.75,0.06765407986111112,32.0,1.1058758,0.04504132270812988,0.0001,25,-15.936132431030273,13035.7119140625,0.2,0.13869378374268612,0.73046875,22007.706705729168
71.75,334.0,44,13.25,967,11,34.25,2376.9777113636364,48.426345,0.007251880787037037,0.0,13,0.2901490066225166,7716.8949999999995,216.5,12672,288.0,0.2148203592814371,0.0,857.5,350.5,0.9356734664351852,0.0,32.0,49.75,0.0,9.5,0.05707465277777778,26.75,0.13812037,0.06191343069076538,0.0001,29,-10.159036000569662,7112.95654296875,0.2,0.08944077945003907,0.6773003472222222,25980.000298394098
81.75,334.0,48,15.5,1096,12,34.25,2112.4202625000003,46.79988275,0.01218894675925926,0.0,12,0.3468543046357616,9121.3325,263.25,13824,288.0,0.24476047904191617,0.0,789.0,419.0,0.9197952835648149,0.0,49.25,61.5,0.0,9.25,0.06801576967592593,30.0,0.106990896,0.08480161428451538,0.0001,33,-11.384469721052382,5124.8896484375,0.2,0.047681717732403844,0.63671875,14548.264255099826
135.5,334.0,52,13.75,1186,13,31.0,2018.629078846154,48.287427,0.02367259837962963,0.0,12,0.5275248344370861,15169.737500000001,217.5,14976,288.0,0.405688622754491,0.0,570.75,637.25,0.880298755787037,0.0,113.75,197.5,0.0,8.25,0.09602864583333333,62.0,1.0394236,0.045166850090026855,0.0001,36,-15.227654417355856,2856.32177734375,0.2,0.10710098136526842,0.5582682291666666,10584.169840494791
195.25,334.0,56,13.5,1274,14,38.0,2069.431107142857,45.856871250000005,0.09660734953703705,0.0,12,0.7282698675496689,21834.497499999998,108.0,16128,288.0,0.5845808383233533,0.0,328.25,879.75,0.7791160300925926,0.0,243.75,460.0,0.0,9.25,0.12427662037037036,109.0,1.4153322,-0.008797168731689453,0.0001,39,-20.287807879240617,2467.74365234375,0.2,0.08141545007896164,0.4891304347826087,5284.865149456522
196.0,334.0,60,12.25,1300,15,30.0,2119.7310316666662,46.306462,0.2109375,0.0,13,0.7475165562913907,22416.747499999998,98.75,17280,288.0,0.5868263473053892,0.0,305.0,903.0,0.6621274594907408,0.0,259.0,554.75,0.0,7.75,0.12693504050925927,119.75,0.9616582,0.2911878824234009,0.0001,40,-35.331790924072266,10553.1494140625,0.2,0.2266705414901177,0.609375,20769.404296875
194.0,334.0,64,12.5,1326,16,35.25,2160.0029,43.302105,0.36720558449074076,0.0,13,0.7390314569536424,22176.8425,98.0,18432,288.0,0.5808383233532934,0.0,315.25,892.75,0.5070710358796297,0.0,267.75,533.75,0.0,8.0,0.12572337962962965,114.0,1.2748215,0.28418099880218506,0.0001,41,-41.46855799357096,11080.369140625,0.2,0.20592066117872795,0.6328125,22701.538411458332
183.75,334.0,68,16.0,1356,17,40.25,2176.809211764706,41.5841225,0.563548900462963,0.0,14,0.7063327814569537,21217.27,122.5,19584,288.0,0.5501497005988023,0.0,354.75,853.25,0.31452546296296297,0.0,245.75,440.75,0.0,6.5,0.12192563657407407,92.0,1.7959118,0.32112789154052734,0.0001,42,-42.758341789245605,9604.28125,0.2,0.18486995622515678,0.712890625,20923.673828125
