ops/jobs_due_missed,events/close_downlink,events/skipped,ops/episodes,events/outage,time/time_elapsed,act/job_share,ops/below_reserve_steps,ops/brownout_steps,ops/blocked_commands,events/add_jobs,ops/min_soc_pct,time/iterations,rollout/ep_len_mean,ops/critical_done_on_time,act/executor_switches,time/fps,time/total_timesteps,act/downlink_slots_used,act/calibrate_share,ops/revenue_usd,ops/completed_share,ops/critical_on_time_share,act/idle_share,ops/critical_due,act/conflicts_repaired,ops/work_lost_steps,rollout/ep_rew_mean,ops/jobs_completed,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate
341.5,10.25,32.75,4,12.25,21,0.12335431134259259,0.0,0.0,0.0,0.0,46.7450585,1,288.0,182.75,244.5,53,1152,96.75,0.10087528935185186,21645.802499999998,0.7173013245033112,0.5471556886227544,0.7757703993055556,334.0,456.5,115.0,2500.520525,866.5,,,,,,,,,,
349.0,9.75,37.5,8,17.0,138,0.12219690393518517,0.0,0.0,0.0,0.0,46.306461999999996,2,288.0,183.5,242.0,16,2304,96.75,0.08760127314814814,21239.75,0.711092715231788,0.5494011976047903,0.7902018229166667,334.0,444.75,117.75,2493.3527625,859.0,0.01209780048682458,4,0.3246527777777778,11301.546875,-30.85466930601332,0.09780708,0.0002777576446533203,0.2,23738.67898220486,3e-05
354.75,8.75,36.25,12,16.0,256,0.12160011574074073,0.0,0.0,0.0,0.0,46.810877000000005,3,288.0,186.25,223.0,13,3456,99.25,0.08633535879629631,20893.2025,0.7063327814569537,0.5576347305389221,0.7920645254629629,334.0,393.75,126.0,2493.5458500000004,853.25,0.0056033483059662915,8,0.1623263888888889,11780.1982421875,-29.421393553415935,0.017015388,0.0028015971183776855,0.2,23372.47509765625,3e-05
359.75,9.0,35.5,16,13.25,370,0.12154586226851852,0.0,0.0,0.0,0.0,46.810877,4,288.0,183.25,230.25,12,4608,99.0,0.08834273726851852,21011.055,0.7021937086092715,0.5486526946107785,0.7901114004629629,334.0,379.0,129.5,2478.818275,848.25,0.016321336772913735,12,0.2591145833333333,11440.796875,-29.726707034640842,0.02073387,0.0045773983001708984,0.2,22964.825249565973,3e-05
374.5,10.0,34.25,20,16.5,489,0.11955656828703703,0.0,0.0,0.0,0.0,46.3722805,5,288.0,182.5,200.75,11,5760,97.5,0.09629991319444445,20377.59,0.6899834437086092,0.5464071856287426,0.7841435185185185,334.0,376.25,138.75,2454.8848,833.5,0.00266333550421728,16,0.056640625,10032.2412109375,-30.648360782199436,0.012049076,0.006253302097320557,0.2,21750.086317274305,3e-05
388.5,8.25,34.5,24,13.75,609,0.11861617476851852,0.0,0.0,0.0,0.0,44.62517525,6,288.0,180.5,206.0,11,6912,92.25,0.10029658564814815,20118.1325,0.6783940397350993,0.5404191616766467,0.7810872395833333,334.0,342.75,157.0,2425.9613041666667,819.5,0.011732826281028489,20,0.2638888888888889,9733.908203125,-31.117359426286484,0.023845768,0.007002115249633789,0.2,20256.66455078125,3e-05
401.25,7.75,38.5,28,12.75,729,0.11686197916666667,0.0,0.0,0.0,0.0,45.11859625,7,288.0,163.75,196.75,11,8064,85.75,0.10286458333333333,19555.0075,0.6678394039735099,0.4902694610778443,0.7802734375,334.0,320.25,153.25,2361.2579142857144,806.75,0.007383937779296603,24,0.1759982638888889,8103.8603515625,-31.68045769797431,0.014929492,0.009004056453704834,0.2,18010.741129557293,3e-05
403.0,6.75,31.0,32,14.75,846,0.11691623263888888,0.0,0.0,0.0,0.0,45.4950875,8,288.0,166.0,201.5,10,9216,79.25,0.11127387152777778,19607.0625,0.6663907284768211,0.4970059880239521,0.7718098958333335,334.0,337.0,157.25,2315.967315625,805.0,-0.001414567982364032,28,0.11241319444444445,6247.8134765625,-32.55891381369697,0.0069665145,0.010875344276428223,0.2,13014.686225043402,3e-05
380.25,7.5,29.0,36,15.5,966,0.11919487847222222,0.0,0.0,0.0,0.0,46.372280499999995,9,288.0,175.25,203.5,10,10368,92.75,0.11935763888888888,20346.350000000002,0.6852235099337748,0.5247005988023952,0.761447482638889,334.0,360.25,145.0,2305.687725,827.75,0.0005717003045396672,32,0.1015625,5315.4609375,-32.93395286136203,0.0037256181,0.011205792427062988,0.2,13543.761935763889,3e-05
390.0,10.75,38.5,40,15.75,1084,0.11756727430555555,0.0,0.0,0.0,0.0,46.379561249999995,10,288.0,178.75,212.0,10,11520,83.25,0.12029803240740741,19981.9125,0.6771523178807948,0.5351796407185628,0.7621346932870371,334.0,335.75,142.25,2298.6696150000002,818.0,0.0028917459680491853,36,0.09917534722222222,6442.5888671875,-33.68044344584147,0.0053412807,0.013156414031982422,0.2,16153.586697048611,3e-05
396.0,9.5,34.25,44,13.25,1206,0.11689814814814814,0.0,0.0,0.0,0.0,46.35014575,11,288.0,174.5,206.0,10,12672,88.0,0.12259476273148148,20002.754999999997,0.6721854304635762,0.5224550898203593,0.7605070891203705,334.0,334.25,146.0,2284.574881818182,812.0,0.006085870722826157,40,0.1462673611111111,4616.5625,-33.60980881585015,0.007627021,0.01892232894897461,0.2,13835.138210720486,3e-05
392.25,9.25,34.25,48,15.5,1326,0.11791087962962962,0.0,0.0,0.0,0.0,45.3561695,12,288.0,174.0,214.0,10,13824,80.5,0.12724247685185183,20023.987500000003,0.6752897350993378,0.5209580838323353,0.7548466435185186,334.0,325.75,147.75,2273.4469645833337,815.75,-0.004160979038311375,44,0.1508246527777778,4662.150390625,-34.1393158170912,0.006167041,0.01908576488494873,0.2,12634.990424262152,3e-05
378.5,8.25,31.0,52,13.75,1447,0.11917679398148148,0.0,0.0,0.0,0.0,47.54915200000001,13,288.0,176.25,224.25,10,14976,86.5,0.13610387731481483,20268.89,0.6866721854304636,0.527694610778443,0.7447193287037037,334.0,370.75,139.75,2270.804998076923,829.5,0.007574315687331061,48,0.1877170138888889,5301.31494140625,-34.247113121880425,0.024953093,0.021619439125061035,0.2,12392.523139105902,3e-05
