time/iterations,time/time_elapsed,act/calibrate_share,ops/critical_on_time_share,rollout/ep_rew_mean,ops/critical_due,ops/brownout_steps,act/executor_switches,act/idle_share,ops/jobs_completed,act/conflicts_repaired,ops/blocked_commands,ops/episodes,ops/min_soc_pct,rollout/ep_len_mean,events/add_jobs,events/outage,ops/below_reserve_steps,ops/revenue_usd,act/job_share,ops/work_lost_steps,events/skipped,time/fps,ops/completed_share,ops/critical_done_on_time,ops/jobs_due_missed,events/close_downlink,time/total_timesteps,act/downlink_slots_used,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss
1,27,0.08997034143518519,0.6107784431137724,2785.7238749999997,334.0,0.0,264.75,0.78173828125,924.0,432.5,0.0,4,47.183655,288.0,0.0,12.25,0.0,22871.1375,0.12829137731481483,88.75,32.75,42,0.7649006622516556,204.0,284.0,10.25,1152,135.75,,,,,,,,,,
2,174,0.07486979166666667,0.6085329341317365,2755.717475,334.0,0.0,249.75,0.7986291956018519,899.75,385.5,0.0,8,47.556433000000006,288.0,0.0,17.0,0.0,21924.857500000002,0.12650101273148148,126.5,37.5,13,0.7448261589403973,203.25,308.25,9.75,2304,142.5,28279.995442708332,0.027485738741233945,0.2,4,0.4264322916666667,-28.481559382544624,0.00028973817825317383,3e-05,0.12830931,13597.7978515625
3,319,0.06834129050925926,0.6010479041916168,2709.4135499999998,334.0,0.0,232.25,0.8085033275462963,876.25,318.0,0.0,12,45.52049675,288.0,0.0,16.0,0.0,21169.32,0.12315538194444445,131.75,36.25,10,0.7253725165562913,200.75,331.75,8.75,3456,131.25,26934.30539279514,0.049634883956362806,0.2,8,0.435546875,-26.90364318423801,0.0048024654388427734,3e-05,0.10599733,13004.169921875
4,468,0.0676540798611111,0.5755988023952096,2601.4663,334.0,0.0,194.25,0.8144350405092592,819.5,268.75,0.0,16,46.9422225,288.0,0.0,13.25,0.0,19627.455,0.11791087962962962,183.25,35.5,9,0.6783940397350993,192.25,388.5,9.0,4608,125.25,23671.66238064236,0.02334755684973465,0.2,12,0.3272569444444444,-26.254525078667534,0.009032011032104492,3e-05,0.054652847,10964.78515625
5,617,0.07237413194444445,0.5808383233532933,2549.9503749999994,334.0,0.0,199.5,0.8085575810185185,835.5,266.5,0.0,20,47.285877000000006,288.0,0.0,16.5,0.0,19771.1675,0.11906828703703703,167.0,34.25,9,0.6916390728476821,194.0,372.5,10.0,5760,129.5,16983.371527777777,0.0061643567169085145,0.2,16,0.050347222222222224,-27.521069049835205,0.01372218132019043,3e-05,0.009921728,7233.8798828125
6,764,0.07702184606481483,0.5778443113772455,2498.270595833333,334.0,0.0,187.5,0.8068938078703703,811.25,253.75,0.0,24,46.745058500000006,288.0,0.0,13.75,0.0,19388.42,0.11608434606481481,182.0,34.5,9,0.6715645695364238,193.0,396.75,8.25,6912,126.25,16147.528781467014,0.008802638014054133,0.2,20,0.2209201388888889,-27.582419130537247,0.01980692148208618,3e-05,0.024500072,6389.12109375
7,917,0.07828776041666666,0.5344311377245509,2427.401292857143,334.0,0.0,187.0,0.8060800057870371,804.5,233.75,0.0,28,46.306462,288.0,0.0,12.75,0.0,19072.2975,0.11563223379629628,184.0,38.5,8,0.6659768211920529,178.5,403.5,7.75,8064,116.25,13036.669094509549,0.00378412665385339,0.2,24,0.07508680555555555,-28.73760223388672,0.025101661682128906,3e-05,0.008530217,4334.01171875
8,1068,0.08400245949074074,0.5501497005988024,2386.91164375,334.0,0.0,184.5,0.7993525752314814,816.75,256.0,0.0,32,47.2494735,288.0,0.0,14.75,0.0,19390.910000000003,0.11664496527777778,174.75,31.0,8,0.6761175496688742,183.75,391.25,6.75,9216,119.75,8381.828206380209,0.0008753848572572073,0.2,28,0.09266493055555555,-29.16304604212443,0.034146130084991455,3e-05,0.008295,2349.47119140625
9,1217,0.08635344328703703,0.5688622754491018,2371.1708527777782,334.0,0.0,198.25,0.7940538194444444,834.0,286.25,0.0,36,47.68807,288.0,0.0,15.5,0.0,19948.2025,0.11959273726851852,177.5,29.0,8,0.6903973509933775,190.0,374.0,7.5,10368,124.75,9201.734320746527,0.0013709539651042884,0.2,32,0.1111111111111111,-29.29609266916911,0.0376853346824646,3e-05,0.016649745,2070.49609375
10,1365,0.09821686921296297,0.5441616766467066,2327.643795,334.0,0.0,175.0,0.7879412615740741,785.0,211.5,0.0,40,47.987748499999995,288.0,0.0,15.75,0.0,18531.2775,0.11384186921296297,193.5,38.5,8,0.6498344370860927,181.75,423.0,10.75,11520,115.25,10017.653238932291,0.030841296292944916,0.2,36,0.3860677083333333,-28.88077794180976,0.04966926574707031,3e-05,0.030782882,4421.84521484375
11,1513,0.09731264467592593,0.527694610778443,2277.8888,334.0,0.0,170.5,0.7905635127314815,768.5,220.5,0.0,44,47.322280500000005,288.0,0.0,13.25,0.0,18222.635,0.11212384259259259,196.5,34.25,8,0.6361754966887417,176.25,439.5,9.5,12672,102.0,10421.629652235242,0.031375975380392954,0.2,40,0.3947482638888889,-31.15702067481147,0.07779353857040405,3e-05,0.05565972,2211.272705078125
12,1668,0.1056495949074074,0.5778443113772455,2280.6887395833332,334.0,0.0,204.25,0.7734375,845.5,283.5,0.0,48,45.352456,288.0,0.0,15.5,0.0,20466.3075,0.12091290509259259,159.25,34.25,8,0.6999172185430463,193.0,362.5,9.25,13824,120.75,11533.65736219618,0.10048951903849633,0.2,44,0.6623263888888888,-31.799156612820095,0.12844300270080566,3e-05,0.19193095,5776.4853515625
13,1817,0.10167100694444445,0.5823353293413174,2287.758201923077,334.0,0.0,219.25,0.7765299479166666,857.0,326.25,0.0,52,47.54915200000001,288.0,0.0,13.75,0.0,20572.925,0.12179904513888888,153.5,31.0,8,0.7094370860927153,194.5,351.0,8.25,14976,125.5,12345.424546983508,0.02421751364858614,0.2,48,0.4084201388888889,-30.320571581522625,0.23053014278411865,3e-05,0.016315954,6067.703125
